frame,cell,solution,intensity
1,A,SNAP,1.007991861
2,A,SNAP,1.007168117
3,A,SNAP,1.003576442
4,A,SNAP,1.003010289
5,A,SNAP,0.99671773
6,A,SNAP,0.997290838
7,A,SNAP,0.997890059
8,A,SNAP,1.001477515
9,A,SNAP,0.992816466
10,A,SNAP,0.992060684
11,A,SNAP,1.031109924
12,A,SNAP,1.044512172
13,A,SNAP,1.063177072
14,A,SNAP,1.071851919
15,A,SNAP,1.080224248
16,A,SNAP,1.09324393
17,A,SNAP,1.101952643
18,A,SNAP,1.105629613
19,A,SNAP,1.107584064
20,A,SNAP,1.120973541
21,A,SNAP,1.126517388
22,A,SNAP,1.131038512
23,A,SNAP,1.125185077
24,A,SNAP,1.12205077
25,A,SNAP,1.127276705
26,A,SNAP,1.119878182
27,A,SNAP,1.123133587
28,A,SNAP,1.118879176
29,A,SNAP,1.11836981
30,A,SNAP,1.120041813
31,A,SNAP,1.109243068
32,A,SNAP,1.107012895
33,A,SNAP,1.109231893
34,A,SNAP,1.102621536
35,A,SNAP,1.094399839
36,A,SNAP,1.098115806
37,A,SNAP,1.094720602
38,A,SNAP,1.087085468
39,A,SNAP,1.093800846
40,A,SNAP,1.085833661
41,A,SNAP,1.080547405
42,A,SNAP,1.079349762
43,A,SNAP,1.068410989
44,A,SNAP,1.071557839
45,A,SNAP,1.064650323
46,A,SNAP,1.074840725
47,A,SNAP,1.054669734
48,A,SNAP,1.066125968
49,A,SNAP,1.060948268
50,A,SNAP,1.063253472
1,B,SNAP,1.009725399
2,B,SNAP,0.991030041
3,B,SNAP,1.005208771
4,B,SNAP,1.019878374
5,B,SNAP,0.98083569
6,B,SNAP,1.010420622
7,B,SNAP,1.00648936
8,B,SNAP,0.986624936
9,B,SNAP,0.999776846
10,B,SNAP,0.990009961
11,B,SNAP,1.016219868
12,B,SNAP,1.024044637
13,B,SNAP,1.01152034
14,B,SNAP,1.034568629
15,B,SNAP,1.052035934
16,B,SNAP,1.049278594
17,B,SNAP,1.061529338
18,B,SNAP,1.065477049
19,B,SNAP,1.070267882
20,B,SNAP,1.077891273
21,B,SNAP,1.066694812
22,B,SNAP,1.089557809
23,B,SNAP,1.084830383
24,B,SNAP,1.097849901
25,B,SNAP,1.088661353
26,B,SNAP,1.078459538
27,B,SNAP,1.07795678
28,B,SNAP,1.08717569
29,B,SNAP,1.089041791
30,B,SNAP,1.082187102
31,B,SNAP,1.060235705
32,B,SNAP,1.059015914
33,B,SNAP,1.063157756
34,B,SNAP,1.06373892
35,B,SNAP,1.048614459
36,B,SNAP,1.044480152
37,B,SNAP,1.041501869
38,B,SNAP,1.030732441
39,B,SNAP,1.046143353
40,B,SNAP,1.057871775
41,B,SNAP,1.053435002
42,B,SNAP,1.058422431
43,B,SNAP,1.044269354
44,B,SNAP,1.06595785
45,B,SNAP,1.058303082
46,B,SNAP,1.060826145
47,B,SNAP,1.016343202
48,B,SNAP,1.028010319
49,B,SNAP,1.028969456
50,B,SNAP,1.021632735
1,C,SNAP,1.019415062
2,C,SNAP,1.01240615
3,C,SNAP,1.010179644
4,C,SNAP,1.001796411
5,C,SNAP,0.995786571
6,C,SNAP,0.997809252
7,C,SNAP,0.991734115
8,C,SNAP,0.993499562
9,C,SNAP,0.991454106
10,C,SNAP,0.985919128
11,C,SNAP,1.030963714
12,C,SNAP,1.031542521
13,C,SNAP,1.043206505
14,C,SNAP,1.035894809
15,C,SNAP,1.038870283
16,C,SNAP,1.040865012
17,C,SNAP,1.051777652
18,C,SNAP,1.052345531
19,C,SNAP,1.05030736
20,C,SNAP,1.046655385
21,C,SNAP,1.042708407
22,C,SNAP,1.045280219
23,C,SNAP,1.044189511
24,C,SNAP,1.049476111
25,C,SNAP,1.040112709
26,C,SNAP,1.055129488
27,C,SNAP,1.055280938
28,C,SNAP,1.055342016
29,C,SNAP,1.041557503
30,C,SNAP,1.031892505
31,C,SNAP,1.030302395
32,C,SNAP,1.03467903
33,C,SNAP,1.031580709
34,C,SNAP,1.030339242
35,C,SNAP,1.019608112
36,C,SNAP,1.026178624
37,C,SNAP,1.030130739
38,C,SNAP,1.02060381
39,C,SNAP,1.024522759
40,C,SNAP,1.021192931
41,C,SNAP,1.01788235
42,C,SNAP,1.018446396
43,C,SNAP,1.015806374
44,C,SNAP,1.01499188
45,C,SNAP,1.024223885
46,C,SNAP,1.016461098
47,C,SNAP,1.013267498
48,C,SNAP,1.010792269
49,C,SNAP,1.010587677
50,C,SNAP,1.008591874
1,D,SNAP,0.982679128
2,D,SNAP,0.994882073
3,D,SNAP,0.999726283
4,D,SNAP,1.012616542
5,D,SNAP,0.994776536
6,D,SNAP,0.997840604
7,D,SNAP,0.993786073
8,D,SNAP,1.014416661
9,D,SNAP,1.007506991
10,D,SNAP,1.001769109
11,D,SNAP,1.049271415
12,D,SNAP,1.071817431
13,D,SNAP,1.049681643
14,D,SNAP,1.0668051
15,D,SNAP,1.063494724
16,D,SNAP,1.065227114
17,D,SNAP,1.074776134
18,D,SNAP,1.072336368
19,D,SNAP,1.040199666
20,D,SNAP,1.063322574
21,D,SNAP,1.06444918
22,D,SNAP,1.061812316
23,D,SNAP,1.053584257
24,D,SNAP,1.051854868
25,D,SNAP,1.043038858
26,D,SNAP,1.030116449
27,D,SNAP,1.043783442
28,D,SNAP,1.030886924
29,D,SNAP,1.008895681
30,D,SNAP,1.046478776
31,D,SNAP,1.034861296
32,D,SNAP,1.032116752
33,D,SNAP,1.013096128
34,D,SNAP,1.021572039
35,D,SNAP,1.009734913
36,D,SNAP,1.036572853
37,D,SNAP,1.01504885
38,D,SNAP,1.026096211
39,D,SNAP,1.016136877
40,D,SNAP,1.014972291
41,D,SNAP,1.014989609
42,D,SNAP,1.025680152
43,D,SNAP,1.026842938
44,D,SNAP,1.011094539
45,D,SNAP,1.018849785
46,D,SNAP,1.005866763
47,D,SNAP,1.012890628
48,D,SNAP,1.011463188
49,D,SNAP,1.017765102
50,D,SNAP,1.011401461
1,E,SNAP,1.00488389
2,E,SNAP,1.000868497
3,E,SNAP,1.009587518
4,E,SNAP,0.994114178
5,E,SNAP,1.007413702
6,E,SNAP,0.992644828
7,E,SNAP,1.009320126
8,E,SNAP,0.999217746
9,E,SNAP,0.997390739
10,E,SNAP,0.984558775
11,E,SNAP,1.037807388
12,E,SNAP,1.044235564
13,E,SNAP,1.055405374
14,E,SNAP,1.059380148
15,E,SNAP,1.04710395
16,E,SNAP,1.068753911
17,E,SNAP,1.066110159
18,E,SNAP,1.070766596
19,E,SNAP,1.048583514
20,E,SNAP,1.059654032
21,E,SNAP,1.074029221
22,E,SNAP,1.052230085
23,E,SNAP,1.062127705
24,E,SNAP,1.066348254
25,E,SNAP,1.074507074
26,E,SNAP,1.062109177
27,E,SNAP,1.067926001
28,E,SNAP,1.078309235
29,E,SNAP,1.058901819
30,E,SNAP,1.055903814
31,E,SNAP,1.053335996
32,E,SNAP,1.078605527
33,E,SNAP,1.050401573
34,E,SNAP,1.03590706
35,E,SNAP,1.067724408
36,E,SNAP,1.048172172
37,E,SNAP,1.031267013
38,E,SNAP,1.045958844
39,E,SNAP,1.054762509
40,E,SNAP,1.071177858
41,E,SNAP,1.034388144
42,E,SNAP,1.072664469
43,E,SNAP,1.054905113
44,E,SNAP,1.060501183
45,E,SNAP,1.041334159
46,E,SNAP,1.069246096
47,E,SNAP,1.032761463
48,E,SNAP,1.065916325
49,E,SNAP,1.058281679
50,E,SNAP,1.061775273
1,F,SNAP,1.000161276
2,F,SNAP,1.000161276
3,F,SNAP,1.00823637
4,F,SNAP,1.006743995
5,F,SNAP,0.998057219
6,F,SNAP,0.993892986
7,F,SNAP,1.005798187
8,F,SNAP,0.999462516
9,F,SNAP,0.99598102
10,F,SNAP,0.99166643
11,F,SNAP,1.035272246
12,F,SNAP,1.048071854
13,F,SNAP,1.060543446
14,F,SNAP,1.052906135
15,F,SNAP,1.055698356
16,F,SNAP,1.048840303
17,F,SNAP,1.044850311
18,F,SNAP,1.038163252
19,F,SNAP,1.034832284
20,F,SNAP,1.026173964
21,F,SNAP,1.018501915
22,F,SNAP,1.020304789
23,F,SNAP,1.01927344
24,F,SNAP,1.015392275
25,F,SNAP,1.006493999
26,F,SNAP,0.995109557
27,F,SNAP,0.999127321
28,F,SNAP,0.993778563
29,F,SNAP,0.995385916
30,F,SNAP,0.995772811
31,F,SNAP,1.002058534
32,F,SNAP,0.988717828
33,F,SNAP,0.992057469
34,F,SNAP,0.975543417
35,F,SNAP,0.973501955
36,F,SNAP,0.977095866
37,F,SNAP,0.982762985
38,F,SNAP,0.981365507
39,F,SNAP,0.981423915
40,F,SNAP,0.984756122
41,F,SNAP,0.975582811
42,F,SNAP,0.981809699
43,F,SNAP,0.970842402
44,F,SNAP,0.972791701
45,F,SNAP,0.978880879
46,F,SNAP,0.981929719
47,F,SNAP,0.988090935
48,F,SNAP,0.979575965
49,F,SNAP,0.976211627
50,F,SNAP,0.981534664
1,a,DMSO,1.006974303
2,a,DMSO,1.005942624
3,a,DMSO,1.004127361
4,a,DMSO,1.004778332
5,a,DMSO,0.995596483
6,a,DMSO,0.993941539
7,a,DMSO,0.999027901
8,a,DMSO,0.996474393
9,a,DMSO,0.999194768
10,a,DMSO,0.993942295
11,a,DMSO,0.986578731
12,a,DMSO,0.989474411
13,a,DMSO,0.992995245
14,a,DMSO,0.983731411
15,a,DMSO,0.991445081
16,a,DMSO,0.996592271
17,a,DMSO,0.996745033
18,a,DMSO,0.993537658
19,a,DMSO,0.991499738
20,a,DMSO,0.997952395
21,a,DMSO,1.001248557
22,a,DMSO,0.997706314
23,a,DMSO,0.999923191
24,a,DMSO,0.989829681
25,a,DMSO,0.99054022
26,a,DMSO,0.993911188
27,a,DMSO,0.991212222
28,a,DMSO,0.991924399
29,a,DMSO,0.99157127
30,a,DMSO,0.988093633
31,a,DMSO,0.991331863
32,a,DMSO,0.989246842
33,a,DMSO,0.989142188
34,a,DMSO,0.993823536
35,a,DMSO,0.995672927
36,a,DMSO,0.995164644
37,a,DMSO,0.996984062
38,a,DMSO,0.997164908
39,a,DMSO,1.000994541
40,a,DMSO,0.999830627
41,a,DMSO,0.998220894
42,a,DMSO,0.997913733
43,a,DMSO,1.005938594
44,a,DMSO,1.002472543
45,a,DMSO,1.007797053
46,a,DMSO,1.00503197
47,a,DMSO,1.018389905
48,a,DMSO,1.006702782
49,a,DMSO,1.012404853
50,a,DMSO,1.012835307
1,b,DMSO,1.007555768
2,b,DMSO,0.993655026
3,b,DMSO,0.996583657
4,b,DMSO,0.974722601
5,b,DMSO,1.005670147
6,b,DMSO,1.022838013
7,b,DMSO,0.996627795
8,b,DMSO,1.006469187
9,b,DMSO,1.00663524
10,b,DMSO,0.989242564
11,b,DMSO,0.999630795
12,b,DMSO,0.999891938
13,b,DMSO,0.97870219
14,b,DMSO,1.002298993
15,b,DMSO,0.983742387
16,b,DMSO,0.996135882
17,b,DMSO,0.995403973
18,b,DMSO,0.980114064
19,b,DMSO,0.993950231
20,b,DMSO,1.013830433
21,b,DMSO,0.995231675
22,b,DMSO,1.012020884
23,b,DMSO,0.980090788
24,b,DMSO,1.004988622
25,b,DMSO,0.979140881
26,b,DMSO,0.995582657
27,b,DMSO,0.987680108
28,b,DMSO,0.983887151
29,b,DMSO,0.983973158
30,b,DMSO,0.98454384
31,b,DMSO,0.979739381
32,b,DMSO,0.995463155
33,b,DMSO,0.986500849
34,b,DMSO,0.998517674
35,b,DMSO,0.995822652
36,b,DMSO,0.990222559
37,b,DMSO,0.987785416
38,b,DMSO,0.991600797
39,b,DMSO,0.973568322
40,b,DMSO,0.990449924
41,b,DMSO,0.995591456
42,b,DMSO,0.980823549
43,b,DMSO,1.005036025
44,b,DMSO,0.990611577
45,b,DMSO,0.995931793
46,b,DMSO,0.999632214
47,b,DMSO,0.998287755
48,b,DMSO,0.990537634
49,b,DMSO,0.999677773
50,b,DMSO,0.998376316
1,c,DMSO,1.013376847
2,c,DMSO,1.009265971
3,c,DMSO,1.004044989
4,c,DMSO,0.997107974
5,c,DMSO,1.006256593
6,c,DMSO,0.9971613
7,c,DMSO,0.992686944
8,c,DMSO,0.991417785
9,c,DMSO,0.99557251
10,c,DMSO,0.993109089
11,c,DMSO,1.005904334
12,c,DMSO,1.006940523
13,c,DMSO,1.00200818
14,c,DMSO,1.010128944
15,c,DMSO,0.999596506
16,c,DMSO,1.009510433
17,c,DMSO,1.003326144
18,c,DMSO,1.00081517
19,c,DMSO,0.999248712
20,c,DMSO,1.002226606
21,c,DMSO,0.989987285
22,c,DMSO,0.993782778
23,c,DMSO,0.992422163
24,c,DMSO,1.008958703
25,c,DMSO,1.003184412
26,c,DMSO,1.014031798
27,c,DMSO,1.020328296
28,c,DMSO,1.014126141
29,c,DMSO,0.99908029
30,c,DMSO,0.999852353
31,c,DMSO,1.007401941
32,c,DMSO,1.011078689
33,c,DMSO,1.013874869
34,c,DMSO,1.011549421
35,c,DMSO,1.01137626
36,c,DMSO,1.000470373
37,c,DMSO,1.00923977
38,c,DMSO,1.010678332
39,c,DMSO,1.004350023
40,c,DMSO,1.007480651
41,c,DMSO,1.009780988
42,c,DMSO,1.013039839
43,c,DMSO,1.005563458
44,c,DMSO,1.004780447
45,c,DMSO,1.007254163
46,c,DMSO,1.007500859
47,c,DMSO,1.018343888
48,c,DMSO,1.011236435
49,c,DMSO,1.003499959
50,c,DMSO,1.005621088
1,d,DMSO,0.99011386
2,d,DMSO,1.001632249
3,d,DMSO,1.022077725
4,d,DMSO,0.993371429
5,d,DMSO,0.99959892
6,d,DMSO,0.989360391
7,d,DMSO,1.011420982
8,d,DMSO,1.001211207
9,d,DMSO,0.996196997
10,d,DMSO,0.99501624
11,d,DMSO,0.991307933
12,d,DMSO,0.99495897
13,d,DMSO,0.986005368
14,d,DMSO,1.020225752
15,d,DMSO,1.002924482
16,d,DMSO,0.995244496
17,d,DMSO,0.981322996
18,d,DMSO,0.995805414
19,d,DMSO,0.997192745
20,d,DMSO,0.989743253
21,d,DMSO,0.990448997
22,d,DMSO,0.994828992
23,d,DMSO,0.995674612
24,d,DMSO,0.994240499
25,d,DMSO,0.985925944
26,d,DMSO,0.988971519
27,d,DMSO,0.987141582
28,d,DMSO,0.981363061
29,d,DMSO,0.992723309
30,d,DMSO,0.98431189
31,d,DMSO,0.979734041
32,d,DMSO,0.982047123
33,d,DMSO,0.985053339
34,d,DMSO,0.983860562
35,d,DMSO,0.986220898
36,d,DMSO,0.984198881
37,d,DMSO,0.985107428
38,d,DMSO,0.984572787
39,d,DMSO,0.988873948
40,d,DMSO,0.994418555
41,d,DMSO,0.986601639
42,d,DMSO,0.992079667
43,d,DMSO,0.988686111
44,d,DMSO,0.987598919
45,d,DMSO,0.987499462
46,d,DMSO,0.995726108
47,d,DMSO,0.989092069
48,d,DMSO,0.992941431
49,d,DMSO,0.997119095
50,d,DMSO,0.992144008
1,e,DMSO,0.991128197
2,e,DMSO,0.99960757
3,e,DMSO,1.012075595
4,e,DMSO,1.012402133
5,e,DMSO,0.990396638
6,e,DMSO,1.004540567
7,e,DMSO,0.991773332
8,e,DMSO,1.00171372
9,e,DMSO,0.99695497
10,e,DMSO,0.999407279
11,e,DMSO,0.997692368
12,e,DMSO,1.008048286
13,e,DMSO,0.993953292
14,e,DMSO,0.99041077
15,e,DMSO,1.00215471
16,e,DMSO,0.996675497
17,e,DMSO,0.995344934
18,e,DMSO,1.009369156
19,e,DMSO,1.004541735
20,e,DMSO,0.996741832
21,e,DMSO,0.99647614
22,e,DMSO,0.986874437
23,e,DMSO,0.993498287
24,e,DMSO,1.000932643
25,e,DMSO,0.983977517
26,e,DMSO,0.993760942
27,e,DMSO,0.995824231
28,e,DMSO,0.989018426
29,e,DMSO,0.99606423
30,e,DMSO,1.000559857
31,e,DMSO,0.992785064
32,e,DMSO,1.001782741
33,e,DMSO,0.997181655
34,e,DMSO,0.982599656
35,e,DMSO,0.996249455
36,e,DMSO,0.98795741
37,e,DMSO,0.979444051
38,e,DMSO,0.980107873
39,e,DMSO,0.985002914
40,e,DMSO,0.972863646
41,e,DMSO,0.979811816
42,e,DMSO,0.973515322
43,e,DMSO,0.977766395
44,e,DMSO,0.985456634
45,e,DMSO,0.975033095
46,e,DMSO,0.967242536
47,e,DMSO,0.986272396
48,e,DMSO,0.972976347
49,e,DMSO,0.982001702
50,e,DMSO,0.988416385
1,f,DMSO,1.019638427
2,f,DMSO,1.002714409
3,f,DMSO,1.000958596
4,f,DMSO,0.998257049
5,f,DMSO,0.989027085
6,f,DMSO,1.00753117
7,f,DMSO,1.004477582
8,f,DMSO,0.983573355
9,f,DMSO,0.992274323
10,f,DMSO,1.001548004
11,f,DMSO,1.007561596
12,f,DMSO,0.981704405
13,f,DMSO,0.983974385
14,f,DMSO,1.007800061
15,f,DMSO,0.988943166
16,f,DMSO,1.001719357
17,f,DMSO,0.966070803
18,f,DMSO,0.973771007
19,f,DMSO,1.002137632
20,f,DMSO,0.997131945
21,f,DMSO,0.986207788
22,f,DMSO,0.982471097
23,f,DMSO,0.994045185
24,f,DMSO,0.989156698
25,f,DMSO,0.981622024
26,f,DMSO,0.98946678
27,f,DMSO,0.982173537
28,f,DMSO,1.001123248
29,f,DMSO,0.989633519
30,f,DMSO,0.993099341
31,f,DMSO,1.00724042
32,f,DMSO,0.980031412
33,f,DMSO,0.998514517
34,f,DMSO,1.005414967
35,f,DMSO,0.985112671
36,f,DMSO,1.008082134
37,f,DMSO,0.997400397
38,f,DMSO,0.987214923
39,f,DMSO,0.993927655
40,f,DMSO,1.002117641
41,f,DMSO,1.007324558
42,f,DMSO,0.987124194
43,f,DMSO,0.98721053
44,f,DMSO,0.984697141
45,f,DMSO,1.007835101
46,f,DMSO,0.999026927
47,f,DMSO,0.999175872
48,f,DMSO,1.010923179
49,f,DMSO,0.989081456
50,f,DMSO,0.990794871
