frame,NIT2MO1_RGW,NIT2MO1_RGW,NIT2MO1_RGW,NIT2MO1_RGW,NIT2MO1_RGW,NIT2MO1_RGW,NIT2MO1_RGW,NIT2MO1_RGW,NIT2MO1_RGW,NIT2MO1_RGW,NIT2MO1_RGW,NIT2MO1_RGW,NIT2MO1_RGW,NIT2MO2_RGW,NIT2MO2_RGW,NIT2MO2_RGW,NIT2MO2_RGW,NIT2MO2_RGW,NIT2MO2_RGW,NIT2MO2_RGW,NIT2MO2_RGW,NIT2MO2_RGW,NIT2MO2_RGW,NIT2MO2_RGW,NIT2MO2_RGW
1,1.061709956,0.921444267,0.770400303,0.975421459,1.011866949,0.957790602,0.942931176,1.043904496,0.985683317,0.958703803,0.963453032,0.975948942,1.016968455,1.12338017,1.01235616,0.77363713,0.91700423,1.01449973,1.05663701,1.02990373,1.03025712,0.90516825,1.02953301,1.13856865,0.86441724
2,1.056974245,0.908609668,0.761712337,0.977469671,1.007367214,0.953091509,0.951589458,1.059874559,0.96477283,0.95891805,0.991603568,0.986429291,1.035189614,1.14888828,0.98148699,0.76338511,0.90247617,1.00218599,1.00654894,1.05926128,1.02649219,0.8994094,1.03068135,1.1451015,0.8643446
3,1.035080689,0.903365961,0.798004799,0.971902736,1.027836598,0.951112943,0.923339443,1.071891635,0.999458044,0.973111944,0.984931404,0.968894861,1.014007516,1.10878461,0.9746083,0.77180502,0.91371486,1.00814231,1.02321485,1.0325664,0.95220386,0.86521364,1.04457924,1.1510014,0.8610758
4,1.035299261,0.878495805,0.810455866,1,1.002735133,0.941467436,0.940529609,1.047383123,0.971502123,0.969844671,1.010195667,0.975142761,1.024143036,1.13060974,1.04462656,0.75810318,0.92544087,1.02200028,1.02271803,1.04444596,1.03030303,0.85579773,1.04481479,1.14410688,0.83496168
5,1.045353539,0.878595685,0.804924864,0.988078357,1.00419093,0.9356554,0.929975352,1.041163759,0.993451359,0.960096411,0.982944748,0.958481693,0.994135064,1.12665394,0.98356758,0.75829809,0.93393842,1.02017528,1.05148819,1.0366628,0.99113866,0.84667605,1.04219422,1.15407568,0.84720154
6,1.035335689,0.860517379,0.798888749,1.015230293,1.018087171,0.938540808,0.933577703,1.065356032,0.98767049,0.975897161,1.005322738,0.960900235,1.00859811,1.07631974,1.0155832,0.74603855,0.92991807,0.98582115,0.98265661,1.06772718,0.95307622,0.83625129,1.0527943,1.14037705,0.82951367
7,1.016392845,0.86810827,0.797575451,1.027256972,0.988088936,0.952267106,0.946723125,1.06688452,0.98319935,0.971076593,0.998125797,0.953107155,1.004156702,1.0929614,1.00390642,0.76708831,0.91468949,1.02567034,0.97479789,1.01344985,0.96147842,0.82708758,1.04552147,1.12561599,0.82046998
8,1.03056355,0.893377946,0.777699204,0.98198624,1.007058408,0.961129431,0.925425014,1.058820429,0.983109024,0.983770755,0.976984781,0.9665435,1.015943514,1.1202428,0.97159356,0.77318884,0.90804983,1.00084231,0.9773723,1.04430941,0.96685032,0.82053007,1.04731759,1.12281297,0.83550648
9,1.053513533,0.912455054,0.83235257,0.977364634,1.015307923,0.955894477,0.944321557,1.065408739,0.971005329,0.961274772,0.999662643,0.982062479,1.007800934,1.07986632,1.02917074,0.75266533,0.956629,0.98738544,0.96156452,1.04369495,1.00720845,0.82109754,1.00800895,1.07816809,0.8346348
10,1.071509235,0.907960447,0.82103801,0.970012079,1.0123081,0.942126958,0.941477596,1.063985664,0.983560654,0.976379218,0.997113727,1.015451797,0.999430589,1.07802483,1.00891682,0.76476894,0.92291292,1.02771594,0.96978456,1.02246194,0.9637741,0.79949137,0.99328661,1.10104435,0.81898086
11,1.034206404,0.907710747,0.808031317,0.981356021,0.996250221,0.929389942,0.925993806,1.063564012,0.980489567,0.972094269,0.983394557,0.984413839,1.013608928,1.09343882,0.99138041,0.73734578,0.92714647,1.02506869,0.99435437,1.04171503,1.00959596,0.79079005,1.04201755,1.07581717,0.8438601
12,1.033623547,0.918547743,0.802500316,1.014495037,0.996691371,0.923701566,0.953169437,1.036683708,0.981302502,0.963685056,1.006072419,0.98286866,1.007573169,1.10312372,1.03617681,0.76317072,0.90016142,1.00214588,1.03631272,1.04888373,0.96129477,0.83255218,1.04496202,1.06503459,0.86369084
13,1.040799971,0.942718738,0.805707791,1.021112337,1.010499382,0.931286068,0.943879163,1.058609603,0.989206034,0.973808249,0.987592773,1.01713134,1.003587291,1.06697586,0.98403465,0.75718713,0.95263911,0.97573351,1.01400117,1.07257459,0.95,0.86203998,1.02019905,1.08024775,0.85297643
14,1.014316418,0.943967239,0.79540346,1.016385694,1.003485089,0.924525969,0.943057574,1.079534075,0.979992774,0.958168184,1.013231876,1.02801478,0.980355313,1.07072705,0.98301558,0.74789015,0.95440563,1.01973407,1.00600696,1.04369495,1.00987144,0.88255323,1.05011483,1.04780958,0.85446555
15,1.012239991,0.921294447,0.791943427,1.004411533,0.998897124,0.974402308,0.944511155,1.054972856,0.987264023,0.967755758,1.005585126,1.007927444,0.988270129,1.07638794,0.9765615,0.74348529,0.93369476,1.00834286,0.9925026,1.04116884,0.96822773,0.87124572,1.00700783,1.02222072,0.82904151
16,1.032494263,0.926787855,0.796262154,1.020429599,1.017513676,0.938334707,0.947544713,1.055130976,0.979089513,0.977932512,0.995539396,0.988915015,1.003587291,1.07413723,1.00598701,0.7340129,0.97877136,0.99145659,0.9866763,1.06970711,1.00991736,0.86494041,1.01746069,1.02326055,0.81138997
17,1.035226403,0.911755893,0.775906049,1.023633213,1.022631022,0.946826051,0.92871137,1.073051178,0.978999187,0.968773433,1.018629582,1.025529056,0.992768477,1.06745328,0.9984714,0.73726782,0.90546097,0.99590879,1.0275507,1.00088755,1.03879706,0.8753862,1.02464519,1.03135314,0.80191043
18,1.039051401,0.916100679,0.775097866,1.026154089,1.011337568,0.955193735,0.946280731,1.064828967,0.984870382,0.975950723,1.022265537,1.004501176,1.00204988,1.04624199,1.02466987,0.72461847,0.92659824,1.02338407,1.00492299,1.05618898,1.03002755,0.86935413,1,1.01754148,0.76733374
19,1.034133547,0.898721534,0.769112262,1.019169161,0.99982354,0.93915911,0.95291664,1.063458599,0.964998645,0.96925549,1.013981558,0.963587504,1.009053639,1.0522439,0.98976689,0.72561249,0.97475101,1.02821732,1.00952983,1.0187069,1.00945822,0.85544043,0.99608386,1.03044894,0.80165619
20,1.014097847,0.907560927,0.786134613,1.007142482,1.008073055,0.95366859,0.955255009,1.081273388,0.966760004,0.975307981,0.990029238,1.032381592,0.993167065,1.05169827,1.03800263,0.73025123,0.96037523,1.03278984,0.96824895,0.99993173,1.03521579,0.87002669,1.01542901,1.06632307,0.77852032
21,1.020363557,0.903166201,0.804343983,1.022582848,1.01266102,0.993363561,0.978006699,1.062668002,0.982567067,0.977932512,1.008508884,0.986093383,1.00859811,1.08429955,0.9861577,0.69616232,0.9564158,1.02524918,0.99995483,1.02259848,1.03259871,0.87233864,0.99149049,1.04907546,0.78792721
22,1.007613566,0.879145026,0.796843036,1.024578541,1.015572613,0.968466612,0.924097832,1.051968587,0.962875982,0.965077665,1.002586401,0.993080282,0.991288008,1.06356568,0.99295147,0.71124798,0.95550209,1.03407336,1.06666366,1.02860654,1.08585859,0.85728998,1.03774807,1.00732402,0.80143827
23,0.998105716,0.851328406,0.785983079,1.012972008,1.011161108,0.983223413,0.979270682,1.03262531,0.960572667,0.97182646,1.016155634,1.006247901,0.994192005,1.02830446,1.00645408,0.73600094,0.94398928,1.02190001,1.07104467,1.03140575,1.01561065,0.86315391,1.0400742,1.02762331,0.78749137
24,0.983825726,0.86775869,0.833261775,1.017593614,1.020292924,0.962118714,0.972508374,1.053707901,0.971637612,0.971237279,0.975185546,0.986698018,1.000911058,1.04781067,0.99808925,0.74292007,0.97697439,1.06676293,1.06950906,1.02027719,1.02878788,0.88459194,1.03854308,1.0298386,0.7917045
25,0.996102146,0.863513783,0.864932441,1.04443044,1.012881595,0.984253916,0.973772357,1.041216466,0.978502394,0.98044992,1.013719169,0.975008398,1.004213643,1.05776838,0.99358838,0.79092521,0.96969512,1.05184205,1.06576035,1.00935345,1.01331497,0.90327666,1.02906189,1.01293006,0.79272146
26,0.969655022,0.84748302,0.895163531,1.076571609,0.993294512,0.95354493,0.959362953,1.039740684,0.998148315,0.984681307,0.979683634,0.990393013,0.978874843,1.06022371,0.9911681,0.79696728,0.96494381,1.03000221,1.05424326,1.00983136,0.95068871,0.91931314,1.0257052,1.04098287,0.76686158
27,1.017084988,0.851977627,0.873317338,1.087915551,1.003352744,0.963355317,0.95146306,1.062984241,0.997019239,0.978682378,0.992240798,0.995834733,0.994533652,1.05926886,0.97881194,0.79640205,0.95135991,1.02338407,1.03513843,1.00860244,0.96414141,0.90861515,1.03088746,1.0036168,0.76773327
28,1.022986412,0.851578106,0.875262028,1.073578068,1.003705664,0.989530091,0.97718511,1.072945765,1.011516575,0.974343867,0.969338031,1.012227074,0.989295069,1.02769063,1.00348181,0.83801431,0.96369506,1.03942803,1.04146154,1.02969891,1.01652893,0.90365497,1.01843237,1.00603554,0.76718846
29,0.996175003,0.857221334,0.881247632,1.062654272,0.994220928,0.986191261,0.978765089,1.053286249,0.992999729,0.965399036,0.976085164,0.986429291,1.018391983,1.01657346,1.04900004,0.85705654,0.9821521,0.98383571,1.03120907,1.04021301,1.00615243,0.88492822,1.00621283,1.01279443,0.75414957
30,0.977305016,0.836096684,0.925268342,1.056352082,1.035644962,0.977576257,0.968653226,1.045538397,1.006548641,0.981467595,0.954719244,0.984077931,1.005637171,1.01104897,1.05426521,0.87545559,0.96555295,1.03455468,1.03622239,1.00839762,1.00968779,0.89293596,1.03506861,1.02427777,0.76224894
31,1.017230702,0.827257291,0.915494381,1.038338323,1.018793012,0.986603462,0.973456361,1.02888315,0.998645109,0.988323514,0.982120099,0.984682566,1.020100216,1.03444278,1.00568978,0.90406767,0.99497457,1.00738022,1.03694503,0.99399194,0.99926538,0.87322138,1.00939285,1.01591392,0.76319326
32,1.006739281,0.84054135,0.916327819,1.048001681,1.00383801,0.98932399,0.992858497,1.034786275,1.000903261,0.964970541,1.048017093,0.984884112,1.041225373,1.01118538,1.00683623,0.93227045,0.96369506,1.00978682,0.99887087,1.00873899,1.01088154,0.85911852,1.03250692,1.05994846,0.78073584
33,0.991876434,0.84004195,0.907185251,1.037235439,1.024307394,0.998722176,0.962333312,1.018447267,1.011155271,0.977932512,1.006147387,0.958683238,1.043332195,1.02216614,1.01401214,0.95472353,0.97222307,1.01937308,1.02222122,1.01146993,0.99444444,0.89030875,1.03674695,0.98704733,0.75128028
34,1.036974974,0.832201358,0.9416593,1.038443359,1.018043056,0.996207749,0.96473488,1.02782902,0.995845,0.970273166,0.98268236,0.984413839,1.012754812,1.00422862,0.98929982,0.96982868,0.97143118,0.99261978,1.02294386,1.01030928,0.94958678,0.90697577,1.02461575,1.00956192,0.75778157
35,1.000801428,0.849131043,0.949640106,1.037498031,1.002117522,1.011747733,0.972002781,1.000474358,1.014994129,0.956668452,0.989954269,0.973261673,1.033538321,1.02844087,0.98738907,1.00543785,0.96844638,1.02115797,0.995348,0.99924899,0.99407713,0.88797579,0.99793887,1.02043492,0.75701885
36,1.014862847,0.849830204,0.935572673,1.030092957,1.006573143,0.972217642,0.988434557,1.031465767,1.001445217,0.960899839,0.982532424,0.989922741,1.0375242,1.01964261,0.99966031,1.02325219,0.99189839,1.00984698,1.0084007,1.02259848,0.9771809,0.88885853,1.02582298,0.99353497,0.75712781
37,1.018651415,0.85382541,0.912286905,1.046688724,1.008867125,0.970445177,0.979902673,1.014863227,1.008851956,0.984306374,1.023240123,0.98636211,1.030121854,1.04085391,0.95384485,1.04215799,0.9923248,1.02847803,0.99688361,1.02437359,1.04494949,0.87584859,1.01722513,0.98460599,0.75934333
38,1.062037813,0.846584099,0.925722945,1.063599601,1.013190401,0.969167354,1.009606269,0.996943024,1.010477825,0.967380825,1.048616838,0.996170642,0.99897506,1.0426272,0.99303639,1.05124057,1.01967533,1.03347171,0.96978456,1.00088755,1.01556474,0.84680216,1.00621283,0.99079976,0.77423455
39,1.032275691,0.832201358,0.940320748,1.057560002,0.988750662,0.986232481,0.978828288,1.004954409,0.996161142,0.976700589,1.010120699,0.989721196,1.026477622,1.01145819,0.96352596,1.04077416,0.99652788,1.01608407,0.99936769,1.0051205,1.01120294,0.87492381,1.01846181,1.00128849,0.74467003
40,1.026447124,0.844936077,0.950195732,1.05073263,1.004764426,0.970032976,1.002338368,0.999051283,0.996341794,0.976539904,1.023202639,0.977964394,1.029096914,1.01220843,0.97915163,1.06075194,1.00904578,1.0595632,1.02312452,1.00218475,1.06088154,0.85258202,1.02305518,1.01577829,0.77663168
41,1.031292121,0.846584099,0.942038136,1.043012447,0.985662608,0.955523495,0.962206914,1.024350393,1.012690814,0.985377611,0.999625159,0.98367484,1.031887029,1.02973673,0.97957624,1.03751925,1.03015259,0.99709203,0.97696581,1.00621288,1.04178145,0.87038399,0.98274542,0.99387404,0.77209167
42,1.021274271,0.832301239,0.987195353,1.032351242,1.005029116,0.963272877,1.008658282,1.00643019,1.003793695,0.977664703,1.031261714,0.978703393,1.029267737,1.02216614,1.00178336,1.02502582,1.00864983,1.0235044,1.01309787,0.99617669,1.04958678,0.88862734,0.97043755,0.98424431,0.79344786
43,1.025208553,0.883140232,0.994595277,1.021532483,1.004852656,0.96067601,1.016684573,1.020450113,1.014181194,0.974772362,1.009108629,1.010278804,1.028356679,1.01145819,0.9813596,1.03935136,0.98863948,1.00647775,1.05857911,1.01713662,1.01524334,0.91378549,0.99081326,0.99346715,0.83717721
44,1.045717824,0.885836996,1.054552342,1.016018066,1.030836421,0.982687552,1.016684573,1.022716492,1.0020775,0.980610605,1.007047005,0.993080282,1.004213643,1.02789524,0.96900344,1.04820005,0.99125879,0.98377554,1.07298677,1.00286748,0.99793388,0.93356313,1.01872681,0.96616031,0.78505793
45,0.999380715,0.898322014,1.05232984,1.010293577,1.022542792,0.973000824,0.989066549,1.008538449,0.992006142,0.990465988,1.000412325,0.982532751,1.024256918,1.00306916,1.04088998,1.05252695,1.04340146,0.99406373,1.071135,1.00047791,0.97773186,0.94724563,1.02131794,0.98593969,0.82145062
46,0.998688572,0.919596484,1.021719914,1.013339636,1.021704606,0.977081616,0.981798648,1.021715069,0.991012555,0.982860204,1.027663243,0.998522002,1.025566564,1.0251671,1.03091164,1.0273452,1.01900527,0.98383571,1.05582404,1.00484741,0.99384757,0.96496353,0.98672045,0.98200642,0.78767297
47,1.017631416,0.974680384,1.01732542,1.01712095,1.017557791,1.009274526,1.009922265,0.995625362,1.003658206,0.981788966,1.032386236,0.98871347,1.021865391,1.01343609,1.01239862,1.04720603,1.02512716,0.99983956,1.0161691,1.0115382,0.99513315,0.96387062,0.99746776,0.96957367,0.85726219
48,1.012677134,0.959498602,0.989847203,0.993172627,0.995279689,0.990807914,0.978322695,0.997206557,0.990651251,0.981306909,1.006484744,1.009405442,1.030235736,1.00409221,1.02063607,1.02709182,1.01458898,1.00846319,1.03242853,1.03311258,1.02552801,0.9891759,1.05182263,0.98178037,0.98630734
49,0.98171287,0.966640032,0.994292209,0.995063284,0.983898006,0.994517725,1.005308728,1.006799136,1.007677717,1.002945903,1.014019042,1.015451797,1.003815055,1.0019097,0.98377988,1.00853685,1.02144184,0.99079478,0.9754302,1.00621288,1.01134068,0.99424116,1.01610624,0.99206564,1.03243381
50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51,1.016720702,1.004344786,0.977825483,0.989969014,0.97476619,1.002349547,0.991468116,1.000790597,0.987173697,1.011247991,1.01630557,0.969768223,0.998633413,1.00982131,1.04199397,1.00282613,0.98870039,1.02137858,1.02086627,0.99802007,1.02800735,0.98556086,1.00294447,0.96496225,1.00098064
52,1.036902116,0.99335797,0.963732795,0.995010766,0.988044821,1.018549052,1.004360741,1.017287725,0.99941288,0.98821639,1.013456781,1,1.002277645,0.99529396,1.06432848,0.99039117,1.01431487,1.01788902,0.98870873,1.0200041,0.9902663,1.03810505,0.99416995,0.99066413,0.98667054
53,1.019598557,1.016779864,1.024674833,0.912557114,0.97013411,0.910263809,0.911837199,0.952406051,0.99137386,0.820567756,0.989954269,0.881961706,1.001480469,0.94059473,0.84034648,1.21174499,0.87841501,1.03331127,0.98586333,0.96907216,0.90105601,1.16921331,0.98886991,0.96451015,0.9601569
54,1.130122764,1.044196964,1.092107589,0.862349667,0.884859714,0.963561418,0.917967516,0.949349075,0.884337458,0.805034815,0.965402204,0.913537118,0.961336978,0.96855818,0.88374167,1.35472743,0.89026285,1.03712171,1.01567228,0.9833413,0.92341598,1.48342756,0.99081326,0.93880826,0.94054407
55,1.22614841,1.075359569,1.185907312,0.86103671,0.912872772,0.955976917,0.938507236,0.97680915,0.891292566,0.812747724,1.008996177,0.892509237,0.990661656,0.97974355,0.89295571,1.39409827,0.89470959,1.06820689,1.10342803,1.00477914,0.89517906,1.60770508,0.86643896,0.93315701,0.94355864
56,1.324505482,1.219786256,1.185225407,0.86345255,0.942297512,0.948722176,0.952095052,0.969219417,0.899241261,0.789555437,1.035309993,0.946053074,0.986448013,0.97878871,0.86773385,1.41715555,0.90278074,1.09423821,1.09308523,0.98293166,0.91317723,1.6323378,0.85954891,0.94791808,0.92223877
57,1.36588831,1.231871754,1.169844677,0.858410798,0.948561849,0.981780709,0.948745497,0.985769251,0.896531479,0.801606856,1.035984706,0.913201209,0.969308735,1.00327377,0.87261687,1.41113298,0.90000914,1.10448629,1.11399666,0.96927699,0.89517906,1.71972929,0.85112773,0.91195352,0.91984164
58,1.391861863,1.29844187,1.153428463,0.867864083,0.934621493,1.022052762,0.97282437,1.003531334,0.915228977,0.797000536,1.031261714,0.918575747,1.00353035,0.97565134,0.8761836,1.37337985,0.93244601,1.07295991,1.11264171,0.96381512,0.86694215,1.75775027,0.85283552,0.94649396,0.91130643
59,1.425594696,1.331352377,1.146685188,0.871487842,0.948297159,1.028854081,0.970296404,0.999736468,0.908951314,0.775307981,0.982345003,0.928115553,0.997551532,0.9399127,0.89533353,1.38312511,0.87345049,1.08852255,1.16959487,0.96804806,0.95596878,1.82111856,0.8745068,0.94156607,0.87589438
60,1.454919675,1.281362365,1.126531128,0.871172733,0.961222869,1.000412201,0.964861278,1.013176619,0.90398338,0.806855919,0.991228728,0.97547867,1.006035759,0.97967535,0.881746,1.38942055,0.92379618,1.10119728,1.10067296,0.99706425,0.95629017,1.89461737,0.85068606,0.97597088,0.86601533
61,1.469236093,1.291050739,1.114913499,0.874008718,0.947282513,1.005358615,1.087846805,1.024455806,0.907189956,0.794804499,1.040107954,0.990930467,0.997551532,0.99583959,0.89452677,1.42966847,0.91813115,1.06646211,1.11200939,1.01317676,0.88039486,1.95743921,0.84194099,0.96349292,0.88907856
62,1.480018943,1.271474231,1.106175022,0.899585106,0.963649197,1.029513603,1.146622006,1.010962947,0.922003432,0.798232458,1.038646075,0.966409137,0.987928482,0.94400491,0.88144877,1.48435886,0.8892273,1.08629645,1.02940247,0.98689151,0.893618,1.97423233,0.85062717,0.93419684,0.90353394
63,1.468762522,1.248751498,1.097310266,0.934509742,0.976663137,1.029472383,1.149465967,1.008222211,0.933881312,0.805731119,0.993477772,0.999798455,1.014747751,0.95607693,0.85775551,1.53848403,0.91736972,1.05398793,1.07118016,0.98074691,0.9003214,2.02440152,0.84276544,0.94554455,0.8772019
64,1.449965393,1.230623252,1.082283117,0.938973793,0.957781895,1.032852432,1.159893825,0.973699468,0.905699575,0.810016069,1.04126996,1.002888814,1.034961849,0.97074069,0.85605707,1.56536145,0.92416167,1.02372501,1.2228445,1.01706834,0.91134068,2.06177095,0.84927272,0.94190515,0.95336505
65,1.456959674,1.238963244,1.110468493,0.931463684,0.960605259,1.052638087,1.241420717,0.983344753,0.938216963,0.798928763,1.034710248,0.979308028,1.027274798,0.98663211,0.87401809,1.59742335,0.89343039,1.04522391,1.28706924,0.97200792,0.89825528,2.07429748,0.84556269,0.96758443,1.03483093
66,1.454737532,1.30568318,1.23818664,0.942650071,0.975251456,1.068384171,1.215129874,0.996943024,0.93148767,0.802570969,1.01630557,0.969566678,1.0192461,0.98035739,0.84391321,1.62761417,0.87701398,1.03367226,1.26656429,0.99761043,0.89559229,2.11103638,0.83181203,0.97630996,1.03072676
