frame,WT_MC,WT_MC,WT_MC,WT_MC,WT_MC,WT_MC,WT_MC,WT_MC,WT_MC,WT_MC,WT_MC,WT_MC,WT_MC,WT_MC,WT_MC,WT_MC,WT_MC,WT_MC,NOS11_MC,NOS11_MC,NOS11_MC,NOS11_MC,NOS11_MC,NOS11_MC,NOS11_MC,NOS11_MC,NOS11_MC,NOS11_MC,NOS11_MC,NOS11_MC,NOS11_MC,NOS11_MC
1,1.00282644,2.222771483,0.978411016,1.053848451,0.333057891,0.971202391,1.049092898,1.731121155,0.991151494,0.307146291,1.024287647,1.575652906,0.979109572,1.91202125,0.989038484,1.287197035,0.999328039,1.612128059,0.758757214,1.01722241,0.999151262,1.060606981,0.971630025,1.856414776,0.826381522,1.301105859,1.015174126,1.012972062,1.035714863,0.465562759,0.999574999,1.003120444
2,0.994487043,2.218983725,0.986242452,1.055029793,0.334632771,0.966557615,1.040067463,1.683359056,0.987113249,0.310519148,1.021370551,1.537278854,0.974009938,1.851394522,0.968763652,1.282149986,1.012950519,1.618729055,0.762425625,1.028323178,0.979558369,1.046439378,0.962324674,2.330778663,0.827538818,1.317982503,1.027112484,1.00344181,1.035132556,0.454705928,0.989045941,0.994127025
3,0.993787429,2.22299618,0.982964177,1.058989238,0.337520051,0.95003837,1.057419394,1.604977401,0.994774036,0.316463708,1.017293063,1.480960404,0.970847764,1.846728167,0.94549029,1.243512974,0.990348198,1.617827765,0.762984834,1.049593771,0.978565777,1.043271907,0.954078468,2.477391171,0.825344778,1.336998139,1.025767941,1.009399701,1.02198211,0.436460205,0.989484652,0.991497132
4,1.018945542,2.203158604,0.98279606,1.05726266,0.340835075,0.94131427,1.07762786,1.537289163,0.999465526,0.317425092,1.021402785,1.429823083,0.963961251,1.797516063,0.921303467,1.213715426,1.032376298,1.590801767,0.767704559,1.074320131,0.959361289,1.05098313,0.945438865,2.634503372,0.824862571,1.326870013,1.034928562,0.996807425,1.012923993,0.445051941,0.990554009,0.995598676
5,1.02034477,2.186948287,0.999887922,1.061637523,0.342254411,0.953511854,1.041161455,1.480184103,0.987172635,0.317240827,1.020790356,1.376242628,0.958118757,1.75727772,0.889729537,1.212403764,1.016127062,1.55268102,0.767055876,1.079045362,0.938804575,1.052096299,0.940067483,2.769504905,0.820016395,1.299865244,1.053397556,0.987728168,1.001568995,0.423197688,0.998066931,0.990625043
6,1.001427212,2.189548358,0.984687373,1.068504888,0.339542118,0.950361485,1.025070654,1.416850402,1.002375438,0.312682262,1.009814982,1.342249368,0.961993676,1.714742094,0.896739346,1.19546621,1.001405009,1.530085305,0.77369928,1.064432408,0.925253542,1.062185656,0.933561302,2.921252299,0.811023242,1.269373917,1.063947046,1.002646633,0.995098911,0.391689448,1.000836292,0.992205704
7,1.008367381,2.175841813,0.987307191,1.056613571,0.337947796,0.932509391,1.012216246,1.357512953,0.999049825,0.309734017,1.006398271,1.295577085,0.95854038,1.676334398,0.880217642,1.179726262,1.004886988,1.500393521,0.776517693,1.042583503,0.931079623,1.064715585,0.928553056,3.045064378,0.822716752,1.256261898,1.079756505,0.998658881,0.989405238,0.367663829,0.997943543,0.981631624
8,0.99280797,2.171957757,0.986018297,1.052264673,0.341807223,0.933357567,1.030935667,1.331578657,1.008373419,0.307803237,1.022853275,1.24915754,0.963158159,1.639183029,0.873724135,1.166295979,1.010995724,1.471628415,0.764640093,1.034515346,0.925526865,1.070746936,0.921456779,3.136725935,0.819148423,1.264144082,1.072221155,1.013790975,0.988580302,0.355838475,1.003427428,0.991551637
9,1.013348632,2.153596764,0.998809173,1.044228947,0.378019735,0.94563593,1.077612666,1.29012788,1.004335174,0.307442718,1.030299123,1.227927548,0.966009135,1.623963531,0.8693157,1.170202452,1.000610874,1.472351985,0.770455867,1.037082487,0.936128893,1.067862817,0.944137628,3.168263335,0.812180538,1.24297876,1.067419217,1.019547105,1.014460638,0.350199172,1.004208881,0.994290542
10,0.999664185,2.142747087,0.994059877,1.048551882,0.45111554,0.941152712,1.046114808,1.267831551,1.014430786,0.305183464,1.05571493,1.208972199,0.961562014,1.647797839,0.85620954,1.167807243,0.990714722,1.463415253,0.770925603,1.046293162,0.944846436,1.069360535,0.952913407,3.14097946,0.8130244,1.221364249,1.073846427,1.028875596,1.052682659,0.344122471,1.010008089,0.995326148
11,0.996501931,2.112669727,0.983692683,1.054458595,0.563738881,0.940142978,1.03395934,1.24765737,0.999109211,0.302267265,1.053539195,1.183361415,0.970215329,1.683333932,0.842408356,1.223153693,0.979230299,1.453247182,0.765847985,1.02764613,0.958972884,1.067741381,0.941368719,3.116224709,0.808057672,1.205674745,1.071290318,1.033278739,1.057874901,0.337873936,1.003687912,0.984002616
12,0.984356635,2.11324752,0.969977164,1.042190806,0.686365625,0.937800396,1.011532501,1.222522324,0.987766494,0.302747957,1.023481821,1.177759056,0.979029263,1.713019132,0.84574447,1.713173653,1.020952963,1.440476795,0.758108531,1.024881517,0.970107171,1.053189229,0.930096382,3.082196505,0.811529559,1.201364677,1.08582911,1.032258065,1.051243065,0.336749199,1.002166134,0.98693229
13,0.965998769,2.113536417,0.965438013,1.042632187,0.819540174,0.936629105,1.00571307,1.198241649,0.986756933,0.303444961,1.020339092,1.142333614,0.974019977,1.657776661,0.838079352,2.090191046,1.01270617,1.414136285,0.760747998,1.002383773,0.984679566,1.071758908,0.912000121,2.999156959,0.807792458,1.19807063,1.0813079,1.035474376,1.035326658,0.340342107,1.00519598,0.981250085
14,0.956092237,2.120951433,0.982417798,1.035453259,0.962630632,0.931822772,0.996095056,1.171645905,1.004453946,0.303068419,1.006011474,1.12358888,0.983677157,1.619225385,0.830990111,2.229854577,1.010568112,1.4022418,0.766496667,0.971352404,1.003035316,1.056306101,0.926071629,2.949149295,0.81087858,1.18894783,1.096422925,1.022229343,1.020364589,0.340201515,1.002166134,1.000095385
15,0.941792131,2.117805669,0.983748721,1.022640236,1.090856948,0.899834404,1.047056857,1.151830008,0.99720886,0.303108476,1.019484914,1.108972199,0.983667118,1.596396138,0.832697883,2.154918734,0.998045205,1.384012897,0.760882208,0.92993963,1.002359203,1.067012761,0.929294458,2.873313918,0.804634005,1.175333148,1.103367267,1.02863823,1.003429144,0.339967195,1.013819388,0.996838677
16,0.923518218,2.119956344,0.997128007,1.01801872,1.197696009,0.883153601,1.061005257,1.149156653,0.995783598,0.30328473,1.005930892,1.117607414,0.979129649,1.587242902,0.830692244,2.019389792,1.004581552,1.370061948,0.768241399,0.895297337,1.00878947,1.075523442,0.926207804,2.741186389,0.801644324,1.155419135,1.10357412,1.034667331,0.992494703,0.337858314,1.01137906,0.995653181
17,0.933648626,2.137579045,0.990683534,1.009684413,1.264579789,0.894947292,1.076321147,1.131132179,1.01187719,0.304438391,1.001128158,1.096293176,0.994528936,1.58609426,0.816076889,1.897120046,0.996884545,1.355197014,0.76003221,0.865239224,1.012745451,1.06596031,0.914027629,2.509158492,0.800535249,1.157247973,1.096836631,1.015405065,0.98500558,0.341451222,1.012503256,0.99471296
18,0.934879946,2.149809007,0.992448759,1.017239813,1.314791231,0.911628095,1.092108062,1.115147172,1.042817269,0.300128185,1.004432052,1.081255265,0.983968278,1.634085933,0.831625561,1.789791845,0.990714722,1.344597339,0.761754574,0.885353193,1.014572394,1.048766913,0.90526698,2.276325874,0.80863632,1.143323137,1.114448664,1.016235847,0.976384194,0.341388737,1.018247625,0.991429
19,0.926092797,2.136198761,1.038694854,1.021043476,1.331687163,0.905125409,1.090755766,1.111288722,1.019122276,0.302820061,0.991812789,1.063016007,0.976780605,1.693528124,0.82763414,1.695038494,1.038912645,1.352378897,0.751398023,0.91572162,1.02879954,1.007437991,0.904192704,2.099478847,0.804513454,1.135601378,1.125456184,1.020306677,0.965465927,0.333406233,1.021579084,0.988226798
20,0.923993955,2.093634642,1.03638325,1.027845932,1.336042386,0.911022255,1.081684748,1.112914783,1.051071916,0.301482134,1.005012248,1.059646167,0.962144255,1.767687282,0.866356885,1.615625891,1.016127062,1.352074236,0.747528296,0.960308057,1.043400705,0.985953834,0.897247734,1.940910484,0.794387115,1.129269962,1.118157238,1.003880937,0.963169047,0.327704444,1.014422616,0.991769659
21,0.929394974,2.08320226,1.041819023,1.025846737,1.334059204,0.91316289,1.0930805,1.122009701,1.044955164,0.305880468,1.015085095,1.056823926,0.946403654,1.829534441,0.915445411,1.535101226,1.026511912,1.34898954,0.745246723,0.978066464,1.053556786,1.005758119,0.895462317,1.7972103,0.795568522,1.119719364,1.102924011,0.987372119,0.957847403,0.325454971,1.00049355,0.991878671
22,0.930794202,2.009854589,1.021280769,1.025755865,1.31754241,0.894583788,1.078114079,1.122175063,1.015499733,0.337974684,1.011152655,1.03652064,0.919279225,1.79464446,0.91445252,1.486398631,1.024984728,1.353597542,0.748758556,0.983341796,1.031000503,1.020553144,0.900046905,1.671290619,0.814012923,1.109601934,1.116103485,0.992131311,0.949306892,0.328454269,1.000520969,0.991660648
23,0.936111267,1.864443232,1.014387985,1.030987525,1.300597871,0.892806656,1.071413377,1.118978062,1.00748263,0.459701971,1.014440433,1.010825611,0.901350198,1.798664704,0.943782517,1.450128315,1.012828345,1.31906926,0.74965329,0.981381178,1.029619507,1.023872411,0.899305503,1.544144697,0.795496191,1.125847575,1.085356304,1.007904294,0.945861573,0.325517457,1.003729041,1.001021979
24,0.931885599,1.73896575,1.006304375,1.034219989,1.271102902,0.88133608,1.066323275,1.104426193,1.021082012,0.614460824,1.030347473,1.003664701,0.894473724,1.77009225,0.951904365,1.40402053,1.023457544,1.295292983,0.750257236,0.98575378,1.029130404,1.018104172,0.89922985,1.611549663,0.794146012,1.121879746,1.084410691,1.010289824,0.938550378,0.321596501,1.007650019,0.999209669
25,0.916885879,1.609957307,0.996147326,1.033480028,1.256015166,0.879760895,1.040690431,1.092933524,1.013896312,0.775140202,1.029847859,1.004170177,0.889805752,1.726802829,0.950534175,1.361961791,1.016799023,1.271516706,0.738625688,1.003455766,1.02487233,1.004128844,0.933591563,1.517665543,0.788046099,1.109409424,1.078899543,1.006100311,0.934959481,0.321268453,1.009048409,1.011160015
26,0.95057928,1.505184091,0.982417798,1.035583077,1.251241919,0.869582778,1.0123378,1.084444934,1.008432805,0.913980131,1.045948298,1.001979781,0.89026753,1.709250153,0.938639342,1.319275734,1.02400733,1.246483701,0.747550664,1.011114872,1.021419837,0.996832529,0.935664463,1.614921827,0.786237824,1.104660863,1.086804273,1.008011109,0.93452275,0.317706787,1.014367777,1.007330999
27,0.955672469,1.418001477,0.98330041,1.02739157,1.23429738,0.863443596,0.976934999,1.072842024,1.027436309,1.017160711,1.033022821,1.006823926,0.888350148,1.615241035,0.943008062,1.291787853,1.006414172,1.234690769,0.847559612,1.021214173,1.013061929,0.995769959,0.929143151,1.579935622,0.783103482,1.099602148,1.09908246,1.007655059,0.935978519,0.315910334,1.015066972,1.001226375
28,0.944590586,1.325329824,0.991285952,1.030844725,1.220745637,0.861868411,0.962713101,1.086815125,0.994774036,1.099198846,1.0240459,1.005181129,0.89413241,1.528985247,0.930100481,1.257085828,1.028649969,1.212018889,0.863195097,1.022737531,1.011983025,1.019763806,0.919989106,1.596758124,0.775436397,1.104703643,1.088902351,1.014965938,0.924251492,0.31598844,0.998012092,1.00313407
29,0.943359266,1.259621866,0.992784992,1.020991549,1.21083945,0.865180338,0.960601088,1.068790652,1.015084031,1.15771511,1.011668386,0.983698399,0.873151634,1.432176316,0.923785694,1.234587967,1.020219914,1.18712552,0.847939874,1.032004626,1.021017047,1.018013095,0.906946483,1.478579093,0.783561578,1.100778593,1.08318435,1.010895108,0.920838523,0.315972819,1.007677438,1.003120444
30,0.939357475,1.188232273,1.004286975,1.024496631,1.201292957,0.865947736,0.966298964,1.065483409,0.983787636,1.187678257,1.044320525,0.98399326,0.87778949,1.348289601,0.913280909,1.214485315,1.030665852,1.186566975,0.843376728,1.0461239,1.031129972,1.030541304,0.89945681,1.362086143,0.787997878,1.103420248,1.076831016,1.004023357,0.925674911,0.319222057,1.001384681,1.001158243
31,0.964263726,1.159085802,0.999341543,1.0296504,1.189549409,0.864332162,0.937186617,1.055093154,0.991567195,1.19765262,1.033844764,0.986436394,0.875490639,1.297498116,0.92710195,1.185828343,1.025656689,1.184586676,0.830604393,1.074066238,1.036596418,1.015432567,0.901408664,1.260269773,0.791517986,1.093623666,1.078352861,1.006931093,0.917975511,0.322361946,0.996270959,0.992846144
32,0.967006213,1.099765673,1.003712576,1.030714907,1.178039178,0.869744335,1.001428268,1.039907397,0.997921492,1.19520109,1.030573105,0.983445661,0.865773227,1.25076277,0.87950276,1.171913316,1.025717776,1.190832233,0.806670246,1.084348905,1.039315256,1.017800581,0.902498071,1.194320969,0.791638538,1.083773609,1.069339992,1.010349166,0.916050661,0.319300164,0.990499171,1.00181231
33,0.939469413,1.096716207,0.995586937,1.021562747,1.175472707,0.868573044,1.070182636,1.041340536,0.98622246,1.192557282,1.033619133,0.984288121,0.887727752,1.198930328,0.905417213,1.136698033,0.988821014,1.167627196,0.845456986,1.068410065,1.046723729,1.013449103,0.896370156,1.145003066,0.792602951,1.07570961,1.06916269,1.004201381,0.913349401,0.317644302,0.988360456,0.995666807
34,0.925169307,1.084710943,0.991874361,1.01997897,1.164954066,0.859727776,1.071398183,1.024611399,0.99501158,1.182038135,1.038969829,0.990943555,0.886452843,1.190961628,0.877655983,1.132477901,1.045998778,1.173618869,0.939560685,1.050863236,1.057944329,1.017446391,0.901514578,1.098789086,0.795857846,1.074233706,1.067832922,0.998207885,0.911877457,0.314738733,0.987839487,0.992287462
35,0.937510494,1.064744968,0.997324143,1.008905506,1.153764643,0.865866957,1.043440605,1.019209569,0.999465526,1.174363083,1.037180892,1.010362258,0.89160267,1.151836031,0.865781008,1.122754491,1.047464875,1.171930537,0.955665906,1.030382532,1.03684097,1.020634101,0.903088166,1.102276211,0.791614428,1.065602875,1.057859665,1.010978186,0.908448312,0.318175428,0.989265297,1.003992533
36,0.938657861,1.044971592,0.989086426,0.996689644,1.15157731,0.894826124,1.021059349,1.012953368,0.975651761,1.158051594,1.056456291,1.020556024,0.896812729,1.1129617,0.858135748,1.104818934,1.029077581,1.169734437,0.94564488,1.026348454,1.036222398,1.019308419,0.902679639,1.067519926,0.809673064,1.053346452,1.060445324,1.019155451,0.908593889,0.319050223,0.985248351,1.002929674
37,0.93527173,1.029050172,0.972078622,0.98452571,1.135517426,0.92006947,1.007232504,1.010500496,0.995902369,1.142917802,1.032684373,1.014279697,0.901440546,1.092860476,0.862365463,1.103735386,1.013133781,1.144802986,0.94946987,1.029733694,1.012227577,1.024074805,0.902437548,1.029659718,0.811047353,1.039635516,1.053456657,1.01972513,0.909014444,0.317894244,1.007787116,1.00362462
38,0.953013936,1.019901775,0.975623082,0.985979671,1.13843387,0.947695787,0.981022275,1.003031639,0.981412198,1.145737863,1.025157941,1.029949452,0.904171059,1.083743135,0.882123992,1.075705731,1.022113622,1.132502285,1.022905203,0.994611826,1.002416745,1.025946952,0.899169327,0.997164316,0.818690327,1.047464225,1.049585556,1.030584633,0.908011581,0.31867531,0.998395964,1.006131876
39,0.960961549,1.022277148,0.964065061,0.987745193,1.127438876,0.948826689,0.991779864,1.002948958,1.01876596,1.111881109,1.019307632,1.025695029,0.91158962,1.060052407,0.945549863,1.076161962,1.034331093,1.158804712,1.137766743,0.979096141,0.99738186,1.017547588,0.89994099,0.985936542,0.809094416,1.039378837,1.054771649,1.030620238,0.934684503,0.318847145,0.999766935,1.000517803
40,0.948956176,1.007511315,0.973941915,0.986330179,1.118835367,0.953431076,1.010256176,0.987019072,1.01377754,1.109341452,1.026286101,1.033487784,0.924790443,1.044043218,0.956570952,1.051554035,1.007452657,1.198004468,1.154006174,0.947796773,0.997396245,1.022587207,0.904011136,0.964362354,0.805405536,1.029432526,1.033835197,1.021054381,0.954531485,0.317441225,1.009418571,0.989071634
41,0.951754631,0.995217154,0.97069166,0.99295089,1.110960968,0.950846157,0.980065032,0.977235145,1.031890255,1.089560968,1.018953068,1.034582982,0.939717914,1.025629061,0.944894555,1.049044768,1.007330483,1.157954199,1.148615398,0.962931618,0.996691362,1.019794165,0.904737408,0.9531729,0.810468705,1.017496952,1.014272839,1.012746564,0.980767675,0.320627978,1.011433899,0.992232957
42,0.978787709,0.99733573,0.971616301,0.994275032,1.104739221,0.960579991,0.957896496,0.986826149,1.038244551,1.078841532,1.040629834,1.044860994,0.941815992,0.992497936,0.936514556,1.042743085,1.017409896,1.153231949,1.119804948,0.975442902,0.984679566,1.017041602,0.905826815,0.94508737,0.819365416,1.009657547,1.008983319,1.0122837,0.968134837,0.323127392,1.001165325,0.99373186
43,0.989841607,0.997046833,0.978607153,0.999376874,1.088844602,0.952865625,0.948734312,0.989030978,1.02565473,1.072039737,1.044256059,1.037826453,0.949977413,1.001292222,0.918682235,1.035186769,1.011240073,1.143889002,1.105735248,0.988800497,0.994274617,1.00428064,0.901075789,0.965320356,0.827611149,0.99751877,1.011007521,1.008972442,0.971612507,0.323627275,1.006772597,0.99373186
44,0.97277103,1.030911951,1.001288894,0.993132635,1.061925825,0.978957147,0.991248063,0.988066365,1.007126314,1.060487101,1.03789002,1.034288121,0.950770466,0.995190064,0.917331904,1.040804106,1.017348809,1.12809739,1.107189192,0.988842812,0.974955046,1.0056974,0.902437548,0.974593807,0.820522712,1.005422344,1.014243288,1.009281018,0.974459344,0.328079356,1.004044365,0.992301089
45,0.985336094,1.023368536,0.992981129,1.00036349,1.054722209,0.987963973,1.000820494,0.997271525,1.012055348,1.046058324,1.040371969,1.002695872,0.960096371,0.993323522,0.907025696,1.037838608,1.000061087,1.113118209,1.085670827,0.973975965,0.967417104,1.008935709,0.90155997,1.005058246,0.828840775,1.004117559,1.026624902,1.007702533,0.967908384,0.335577599,1.000795163,1.001798684
46,0.971567695,1.012454659,0.992000448,0.996144409,1.037651291,0.973504584,0.990123682,0.992834307,1.031533939,1.045473482,1.030444171,1.018449874,0.97013502,0.991780035,0.89824854,1.030111206,1.00207697,1.098926069,1.079005055,0.990761115,0.968596706,1.012265096,0.889591624,0.993523912,0.828888996,0.992855768,1.026772654,0.998979325,0.967406952,0.50513161,1.002604845,0.9990189
47,0.967230089,1.002503772,0.995348772,1.002557412,1.025130025,0.975847167,0.971692953,0.988286848,1.01407447,1.02669444,1.031266116,1.003285594,0.977272499,0.994005528,0.880336789,1.018819504,0.999266952,1.071125724,1.068916924,1.017645565,0.963820758,1.012963357,0.893132197,1.006016248,0.844174945,0.99232102,1.031323414,0.997982387,0.964479239,0.651144263,0.997573381,0.991115593
48,0.997397437,0.9999679,0.985233752,0.999545637,1.01583629,0.978957147,1.024888322,0.990932642,1.00249421,1.011288255,1.037906137,0.994566133,0.981860162,0.994902904,0.930974225,1.026404334,1.010079414,1.045204123,1.074106384,1.027025502,0.961245774,1.010008399,0.939295819,1.006284488,0.854180731,1.006192381,1.015321878,0.994754207,0.958866441,0.768210576,0.996860476,0.99701582
49,1.005037219,0.990626906,0.987475308,1.003089665,1.002556749,0.995516782,1.021044155,1.003224562,0.992101669,0.997908989,1.028091155,0.977590564,1,0.998205248,0.968346638,1.01237525,1.010262676,1.024449071,1.030085447,1.012356127,0.976278501,0.999929162,0.989151322,0.995631514,0.885258945,1.003828795,0.997709845,0.99010183,0.98534526,0.902288526,1.000260485,0.994426806
50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51,0.996194101,1.035502199,0.9969739,1.010722956,0.987294026,1.000848176,0.980080226,1.005208908,1.002375438,0.984681942,1.007526431,0.988037068,0.993073332,1.013640116,1.064220183,0.99358426,1.027306048,0.968175586,0.985997405,0.980238659,1.019377113,1.006193266,1.030125131,1.011687615,1.056876266,1.014363329,1.001654822,1.007868689,1.006373033,1.083386706,1.012160513,1.001880442
52,1.003637992,1.0353738,0.992756973,1.00203814,0.970339766,0.994224322,0.970371046,0.996058869,0.991567195,0.969307803,1.037583805,0.986310025,0.987632385,1.015040023,1.062532269,0.991844882,1.018875993,0.949642023,0.975707959,0.967473482,1.029590736,1.0149873,1.041563904,1.009196812,1.047810782,1.030748005,0.989095906,1.006503833,1.004383482,1.170178864,1.010926639,1.004251434
53,1.015699334,1.033383623,0.976631782,1.009762303,0.967053906,1.015347954,0.958625824,1.002673355,0.980996496,0.962129466,1.030041258,0.986647009,0.996255584,1.039053807,1.026927201,0.990419162,1.025045816,0.9446405,0.993200018,0.954299255,1.04002014,0.946082152,1.036525397,1.008966891,1.033947343,1.049111249,0.989155007,1.00568492,1.006114229,1.218854956,1.006841146,1.002330113
54,0.985867801,1.03184284,1.140545538,1.244524932,0.982715209,1.02249687,0.945194032,1.000303164,0.965734307,0.95463868,1.142921608,1.013816344,0.996867942,1.05893966,1.012172842,1.002480753,1.007574832,0.958794557,1.061356417,1.04907188,1.040437316,1.036764929,1.074291507,1.033568363,1.058491658,1.06561357,0.976123284,1.066047141,1.055335393,1.262766539,0.968659602,0.966778857
55,0.977248559,1.035791096,1.258899675,1.421557555,0.999640305,1.009451109,0.937520892,0.996582516,0.982124829,0.971358757,1.240716864,1.056655434,1.023339858,1.055457841,1.10474999,1.008269176,1.028283445,0.992548492,1.069252449,1.156637892,1.155103215,1.149215216,1.109303839,1.049816064,1.04913685,1.249898398,1.087897637,1.152911296,1.097876195,1.37258455,0.94882165,0.943109815
56,0.954972855,1.045966681,1.391459673,1.554374213,1.015214116,1.103154408,0.927857295,1.009673685,0.956648257,0.987598141,1.290001288,1.075273799,1.039110576,1.031372267,1.116525676,1.002081551,1.004642639,1.034401341,1.054668277,1.248293275,1.279666259,1.225689912,1.14153213,1.083882587,1.054417012,1.396205429,1.195549711,1.234256688,1.132442618,1.48202765,0.943022443,0.926417485
57,0.943499188,1.036047893,1.474004959,1.651101505,1.035230642,1.535158932,0.935925487,1.00617352,0.953322644,1.000320461,1.318189143,1.098946925,1.053867389,1.028464769,1.240795901,0.994838894,1.009651802,1.055918046,1.031763074,1.315730084,1.379011724,1.29385632,1.200269326,1.115879828,1.055501977,1.491529593,1.278512433,1.28920696,1.15533054,1.588721393,0.942720829,0.91677
58,0.933452734,1.045003691,1.538561761,1.719969882,1.040567734,2.200411971,0.949949859,1.005015985,0.973038779,1.004182022,1.368069881,1.102064027,1.060934598,1.01274274,1.237281068,0.997433704,1.004337202,1.064778613,1.03263544,1.346027985,1.456045458,1.331370108,1.223691577,1.153663397,1.056514611,1.578126671,1.317873554,1.329203162,1.176067159,1.661969851,0.958733771,0.907722076
59,0.9246376,1.041215934,1.571120357,1.7423375,1.053225101,2.932226665,0.95563254,1.011740712,0.998337193,0.994143567,1.392986074,1.104338669,1.07882347,1.028464769,1.316553477,0.989364129,1.010690287,1.086701533,1.05708406,1.400008463,1.514493275,1.369278565,1.23534218,1.163243409,1.061529559,1.621858356,1.375171762,1.364262147,1.19193504,1.697977037,0.955347473,0.916293076
60,0.928723345,1.04952974,1.551842978,1.778556685,1.067117095,3.598327881,1.009390099,1.019016646,1.049824811,0.982815254,1.421399561,1.121019377,1.100617377,1.014752863,1.28803765,0.981921871,0.986988393,1.096069869,1.092940545,1.443353645,1.551880889,1.387898843,1.280144044,1.165274372,1.061674221,1.653248059,1.426722418,1.385340264,1.238843149,1.718940873,0.949575684,0.925054846
61,0.919544411,1.03893686,1.560739153,1.790383093,1.07076265,4.147825033,1.007506002,1.013394334,1.030108676,0.986188111,1.447169932,1.128306655,1.11768308,1.014824653,1.277115851,0.978671229,1.001099572,1.099357672,1.109828658,1.514697585,1.588319068,1.402592671,1.329409451,1.176118945,1.063530717,1.684755406,1.465477756,1.394419521,1.253368487,1.692681403,0.955594247,0.928107158
62,0.903089495,1.047860559,1.583841185,1.795316171,1.075808098,4.556767236,1.008630383,1.0385845,1.033909377,0.985475084,1.471989427,1.139974726,1.126858405,1.008866076,1.342924659,0.977416595,0.995907147,1.095181273,1.225361249,1.547887046,1.597928505,1.409180607,1.347445189,1.409603004,1.05422413,1.671418793,1.459050546,1.412352536,1.261310516,1.677934859,0.950302299,0.939675964
63,0.899843287,1.047700061,1.603076534,1.795770534,1.075302581,4.778585565,1.051523992,1.286076508,1.007957717,0.985963788,1.48544675,1.149789385,1.127852231,1.005204781,1.421303467,0.980838323,1.003115455,1.093226363,1.310629446,1.631431957,1.635603827,1.423429167,1.340409435,1.593079399,1.03886585,1.658520673,1.464177539,1.436445204,1.260695858,1.658876826,0.944982931,0.947592898
64,0.902026082,1.043655507,1.6073495,1.808882138,1.071248724,4.900803748,1.04825721,1.689312093,1.000831403,0.981461304,1.541290614,1.179991575,1.143040707,1.036469364,1.457702848,0.989620758,1.001282834,1.0804052,1.33241623,1.712846987,1.650507085,1.405395833,1.332889501,1.727965972,1.034670653,1.651216017,1.472909679,1.456324622,1.264383805,1.625150355,0.973074128,0.949296197
65,0.937706386,1.061310307,1.614354362,1.816930846,1.087619696,4.841714124,1.032044854,2.062754933,0.978680444,0.973401698,1.548607528,1.189174389,1.135933343,1.018270577,1.536339807,0.984887368,0.979963348,1.054902508,1.307967611,1.725781426,1.650722866,1.431018954,1.364043516,1.840741876,1.029607484,1.632114821,1.493905232,1.447435258,1.268071753,1.596297743,0.977488655,0.969054465
66,1.058571668,1.070234006,1.606172683,1.818203061,1.091177757,4.847732138,1.025222597,2.342878404,0.988894827,0.966271431,1.575989556,1.18820556,1.130472318,1.018055207,1.522240756,0.998032506,0.980207697,1.046283132,1.291705811,1.729293613,1.629288643,1.42760861,1.36505727,2.055449111,1.013043688,1.618500139,1.503479559,1.458745757,1.26855701,1.532797001,0.981875763,0.961464565
