Genotype,Batch,Condition,Track ID,mean_speed,genotype_label
WT,0701_08,dark,0701_08_ID265,3.8267542413333335,WT
WT,0701_08,dark,0701_08_ID429,3.9387232630333333,WT
WT,0701_08,dark,0701_08_ID537,3.8910234332666667,WT
WT,0701_08,dark,0701_08_ID576,4.910735738633333,WT
WT,0701_09,dark,0701_09_ID1,2.2849407297,WT
WT,0701_09,dark,0701_09_ID199,2.8516792625,WT
WT,0701_09,dark,0701_09_ID30,2.7899996197333334,WT
WT,0701_09,dark,0701_09_ID383,2.7670580115,WT
WT,0701_09,dark,0701_09_ID55,3.7234423189,WT
WT,0701_09,dark,0701_09_ID99,1.7943714617,WT
WT,0702_03,dark,0702_03_ID313,2.8537715733,WT
WT,0702_04,dark,0702_04_ID332,3.2317623901333334,WT
WT,0703_07,dark,0703_07_ID111,2.5844744977,WT
WT,0703_07,dark,0703_07_ID132,2.9552661461,WT
WT,0703_07,dark,0703_07_ID139,4.047409676033333,WT
WT,0703_07,dark,0703_07_ID202,3.8874588872666664,WT
WT,0703_07,dark,0703_07_ID211,3.4754476197,WT
WT,0703_07,dark,0703_07_ID56,4.4449006165,WT
WT,0704_02,dark,0704_02_ID102,4.5586190000333335,WT
WT,0704_02,dark,0704_02_ID143,4.0384317645,WT
WT,0704_02,dark,0704_02_ID148,2.7057225097,WT
WT,0704_02,dark,0704_02_ID161,3.6884045408,WT
WT,0704_02,dark,0704_02_ID28,5.0859978196333335,WT
WT,0704_02,dark,0704_02_ID3,3.4784312547,WT
WT,0704_02,dark,0704_02_ID47,4.2171395743,WT
WT,0704_02,dark,0704_02_ID52,3.484562026233333,WT
WT,0705_00,dark,0705_00_ID112,5.102501116866667,WT
WT,0705_00,dark,0705_00_ID149,4.5662549539,WT
WT,0705_00,dark,0705_00_ID175,6.3635654355,WT
WT,0705_00,dark,0705_00_ID178,4.727581162433333,WT
WT,0705_00,dark,0705_00_ID193,3.9351345016,WT
WT,0706_00,dark,0706_00_ID203,3.3612277101666668,WT
NOS23x23,0623_02,dark,0623_02_ID10,2.7292929585,NOS^'Δ23/Δ23'
NOS23x23,0623_02,dark,0623_02_ID146,6.319884699766667,NOS^'Δ23/Δ23'
NOS23x23,0623_02,dark,0623_02_ID173,4.692827768433333,NOS^'Δ23/Δ23'
NOS23x23,0623_02,dark,0623_02_ID174,2.9409563517,NOS^'Δ23/Δ23'
NOS23x23,0623_02,dark,0623_02_ID208,3.803780567,NOS^'Δ23/Δ23'
NOS23x23,0623_02,dark,0623_02_ID221,3.1744097573,NOS^'Δ23/Δ23'
NOS23x23,0623_02,dark,0623_02_ID234,3.7673013581,NOS^'Δ23/Δ23'
NOS23x23,0623_02,dark,0623_02_ID250,2.9270009368,NOS^'Δ23/Δ23'
NOS23x23,0623_02,dark,0623_02_ID266,3.5051280585333333,NOS^'Δ23/Δ23'
NOS23x23,0623_02,dark,0623_02_ID270,2.7114221682,NOS^'Δ23/Δ23'
NOS23x23,0623_02,dark,0623_02_ID291,3.7546489247,NOS^'Δ23/Δ23'
NOS23x23,0623_02,dark,0623_02_ID293,2.2330492942,NOS^'Δ23/Δ23'
NOS23x23,0623_02,dark,0623_02_ID34,3.8935915703,NOS^'Δ23/Δ23'
NOS23x23,0623_02,dark,0623_02_ID40,5.426460729066667,NOS^'Δ23/Δ23'
NOS23x23,0623_02,dark,0623_02_ID44,5.1058522359,NOS^'Δ23/Δ23'
NOS23x23,0623_02,dark,0623_02_ID64,3.0078757142,NOS^'Δ23/Δ23'
NOS23x23,0623_02,dark,0623_02_ID84,2.2009907662,NOS^'Δ23/Δ23'
NOS23x23,0624_00,dark,0624_00_ID164,2.7814295082666667,NOS^'Δ23/Δ23'
NOS23x23,0624_00,dark,0624_00_ID759,4.298270154266667,NOS^'Δ23/Δ23'
NOS23x23,0624_01,dark,0624_01_ID209,3.8349119454,NOS^'Δ23/Δ23'
NOS23x23,0624_01,dark,0624_01_ID221,4.006984611666667,NOS^'Δ23/Δ23'
NOS23x23,0624_01,dark,0624_01_ID223,3.0703507537,NOS^'Δ23/Δ23'
NOS23x23,0624_01,dark,0624_01_ID253,4.640480549233334,NOS^'Δ23/Δ23'
NOS23x23,0624_01,dark,0624_01_ID284,3.0692106464,NOS^'Δ23/Δ23'
NOS23x23,0624_01,dark,0624_01_ID337,5.366896684466667,NOS^'Δ23/Δ23'
NOS23x23,0624_01,dark,0624_01_ID381,4.616635487,NOS^'Δ23/Δ23'
NOS23x23,0624_01,dark,0624_01_ID407,3.6559884305666666,NOS^'Δ23/Δ23'
NOS23x23,0624_01,dark,0624_01_ID463,4.250143782833334,NOS^'Δ23/Δ23'
NOS23x23,0627_02,dark,0627_02_ID122,4.674946002666666,NOS^'Δ23/Δ23'
NOS23x23,0627_02,dark,0627_02_ID159,2.7521287493,NOS^'Δ23/Δ23'
NOS23x23,0627_02,dark,0627_02_ID257,3.5546424678,NOS^'Δ23/Δ23'
NOS23x23,0627_02,dark,0627_02_ID279,4.1657832920999995,NOS^'Δ23/Δ23'
NOS23x23,0627_02,dark,0627_02_ID326,6.4371021035,NOS^'Δ23/Δ23'
NOS23x23,0627_02,dark,0627_02_ID387,3.4834890606,NOS^'Δ23/Δ23'
NOS23x23,0628_00,dark,0628_00_ID102,3.049481582333333,NOS^'Δ23/Δ23'
NOS23x23,0628_00,dark,0628_00_ID165,3.567811093,NOS^'Δ23/Δ23'
NOS23x23,0628_00,dark,0628_00_ID575,4.0209953117,NOS^'Δ23/Δ23'
NOS23x23,0628_00,dark,0628_00_ID649,3.154259222,NOS^'Δ23/Δ23'
NOS23x23,0628_00,dark,0628_00_ID7,2.6744479796333334,NOS^'Δ23/Δ23'
NOS23x23,0628_00,dark,0628_00_ID702,2.9360988577000002,NOS^'Δ23/Δ23'
NOS23x23,0703_01,dark,0703_01_ID132,5.001910857,NOS^'Δ23/Δ23'
NOS23x23,0703_01,dark,0703_01_ID239,5.5133689321,NOS^'Δ23/Δ23'
NOS23x23,0703_01,dark,0703_01_ID251,3.2568096996,NOS^'Δ23/Δ23'
NOS23x23,0703_01,dark,0703_01_ID284,5.2135910444,NOS^'Δ23/Δ23'
NOS23x23,0703_01,dark,0703_01_ID305,6.221498613066666,NOS^'Δ23/Δ23'
NOS23x23,0703_01,dark,0703_01_ID52,3.3973578568,NOS^'Δ23/Δ23'
NOS23x23,0703_01,dark,0703_01_ID56,6.092212295766666,NOS^'Δ23/Δ23'
NOS11x11,0623_00,dark,0623_00_ID117,3.0658979654,NOS^'Δ11/Δ11'
NOS11x11,0623_00,dark,0623_00_ID138,3.9785114575000002,NOS^'Δ11/Δ11'
NOS11x11,0623_00,dark,0623_00_ID139,5.1899365705,NOS^'Δ11/Δ11'
NOS11x11,0623_00,dark,0623_00_ID147,2.1413151883,NOS^'Δ11/Δ11'
NOS11x11,0623_00,dark,0623_00_ID164,2.931975013633333,NOS^'Δ11/Δ11'
NOS11x11,0623_00,dark,0623_00_ID177,1.9056792886,NOS^'Δ11/Δ11'
NOS11x11,0623_00,dark,0623_00_ID183,4.3772609904,NOS^'Δ11/Δ11'
NOS11x11,0623_00,dark,0623_00_ID206,2.300919981433333,NOS^'Δ11/Δ11'
NOS11x11,0623_00,dark,0623_00_ID32,2.8164248469,NOS^'Δ11/Δ11'
NOS11x11,0623_00,dark,0623_00_ID325,2.9724712233,NOS^'Δ11/Δ11'
NOS11x11,0623_00,dark,0623_00_ID408,3.851305321,NOS^'Δ11/Δ11'
NOS11x11,0623_00,dark,0623_00_ID99,3.0672162099333335,NOS^'Δ11/Δ11'
NOS11x11,0701_06,dark,0701_06_ID119,2.4639316309,NOS^'Δ11/Δ11'
NOS11x11,0701_06,dark,0701_06_ID201,2.9793417354,NOS^'Δ11/Δ11'
NOS11x11,0701_06,dark,0701_06_ID356,3.4384615221666666,NOS^'Δ11/Δ11'
NOS11x11,0701_06,dark,0701_06_ID385,4.6423857308,NOS^'Δ11/Δ11'
NOS11x11,0701_06,dark,0701_06_ID52,3.453673000833333,NOS^'Δ11/Δ11'
NOS11x11,0701_06,dark,0701_06_ID632,3.2614149418666667,NOS^'Δ11/Δ11'
NOS11x11,0701_06,dark,0701_06_ID681,2.416269528,NOS^'Δ11/Δ11'
NOS11x11,0701_06,dark,0701_06_ID86,2.5017838521666667,NOS^'Δ11/Δ11'
NOS11x11,0703_00,dark,0703_00_ID120,5.668985853633333,NOS^'Δ11/Δ11'
NOS11x11,0703_00,dark,0703_00_ID138,4.6906485335,NOS^'Δ11/Δ11'
NOS11x11,0703_00,dark,0703_00_ID234,4.656329837933334,NOS^'Δ11/Δ11'
NOS11x11,0703_00,dark,0703_00_ID385,5.3117944683,NOS^'Δ11/Δ11'
NOS11x11,0703_00,dark,0703_00_ID396,3.7686639913,NOS^'Δ11/Δ11'
NOS11x11,0703_00,dark,0703_00_ID81,3.2925228498,NOS^'Δ11/Δ11'
WT,0701_08,sideUV,0701_08_ID265,3.7249575485,WT
WT,0701_08,sideUV,0701_08_ID429,6.926758085266667,WT
WT,0701_08,sideUV,0701_08_ID537,4.897751932733334,WT
WT,0701_08,sideUV,0701_08_ID576,6.602231664166666,WT
WT,0701_09,sideUV,0701_09_ID1,5.6384685655333335,WT
WT,0701_09,sideUV,0701_09_ID199,7.5884234343,WT
WT,0701_09,sideUV,0701_09_ID30,4.356811728433334,WT
WT,0701_09,sideUV,0701_09_ID383,4.1806542349,WT
WT,0701_09,sideUV,0701_09_ID55,4.589696418833333,WT
WT,0701_09,sideUV,0701_09_ID99,3.4398331678,WT
WT,0702_03,sideUV,0702_03_ID313,2.3514466305,WT
WT,0702_04,sideUV,0702_04_ID332,6.318237071733333,WT
WT,0703_07,sideUV,0703_07_ID111,4.1423418338,WT
WT,0703_07,sideUV,0703_07_ID132,3.2107664296,WT
WT,0703_07,sideUV,0703_07_ID139,6.112359518533333,WT
WT,0703_07,sideUV,0703_07_ID202,3.1071338895333334,WT
WT,0703_07,sideUV,0703_07_ID211,2.6447122559,WT
WT,0703_07,sideUV,0703_07_ID56,3.2596139683666667,WT
WT,0704_02,sideUV,0704_02_ID102,4.141449019033334,WT
WT,0704_02,sideUV,0704_02_ID143,3.2473517025,WT
WT,0704_02,sideUV,0704_02_ID148,4.0342538958,WT
WT,0704_02,sideUV,0704_02_ID161,6.9408258931,WT
WT,0704_02,sideUV,0704_02_ID28,8.919717350066666,WT
WT,0704_02,sideUV,0704_02_ID3,4.768092844266667,WT
WT,0704_02,sideUV,0704_02_ID47,3.7893165524,WT
WT,0704_02,sideUV,0704_02_ID52,3.0657743053,WT
WT,0705_00,sideUV,0705_00_ID112,5.984214473133333,WT
WT,0705_00,sideUV,0705_00_ID149,5.809835578633334,WT
WT,0705_00,sideUV,0705_00_ID175,8.012543240466666,WT
WT,0705_00,sideUV,0705_00_ID178,4.851598257166667,WT
WT,0705_00,sideUV,0705_00_ID193,3.6976795888,WT
WT,0706_00,sideUV,0706_00_ID203,2.7848108823666666,WT
NOS23x23,0623_02,sideUV,0623_02_ID10,4.1055215579,NOS^'Δ23/Δ23'
NOS23x23,0623_02,sideUV,0623_02_ID146,6.3784462138,NOS^'Δ23/Δ23'
NOS23x23,0623_02,sideUV,0623_02_ID173,3.5933910503,NOS^'Δ23/Δ23'
NOS23x23,0623_02,sideUV,0623_02_ID174,3.0809070223,NOS^'Δ23/Δ23'
NOS23x23,0623_02,sideUV,0623_02_ID208,3.7379706568,NOS^'Δ23/Δ23'
NOS23x23,0623_02,sideUV,0623_02_ID221,2.4033968349,NOS^'Δ23/Δ23'
NOS23x23,0623_02,sideUV,0623_02_ID234,3.6021997361,NOS^'Δ23/Δ23'
NOS23x23,0623_02,sideUV,0623_02_ID250,2.8823530609,NOS^'Δ23/Δ23'
NOS23x23,0623_02,sideUV,0623_02_ID266,5.1609067293,NOS^'Δ23/Δ23'
NOS23x23,0623_02,sideUV,0623_02_ID270,2.501217559,NOS^'Δ23/Δ23'
NOS23x23,0623_02,sideUV,0623_02_ID291,2.2437039839,NOS^'Δ23/Δ23'
NOS23x23,0623_02,sideUV,0623_02_ID293,2.7534264589666666,NOS^'Δ23/Δ23'
NOS23x23,0623_02,sideUV,0623_02_ID34,3.1292249434,NOS^'Δ23/Δ23'
NOS23x23,0623_02,sideUV,0623_02_ID40,4.893730155,NOS^'Δ23/Δ23'
NOS23x23,0623_02,sideUV,0623_02_ID44,4.5099411997,NOS^'Δ23/Δ23'
NOS23x23,0623_02,sideUV,0623_02_ID64,2.8253407469,NOS^'Δ23/Δ23'
NOS23x23,0623_02,sideUV,0623_02_ID84,2.5794672918,NOS^'Δ23/Δ23'
NOS23x23,0624_00,sideUV,0624_00_ID164,2.6766429955333333,NOS^'Δ23/Δ23'
NOS23x23,0624_00,sideUV,0624_00_ID759,3.9380131442,NOS^'Δ23/Δ23'
NOS23x23,0624_01,sideUV,0624_01_ID209,3.568939788933333,NOS^'Δ23/Δ23'
NOS23x23,0624_01,sideUV,0624_01_ID221,4.315645330833333,NOS^'Δ23/Δ23'
NOS23x23,0624_01,sideUV,0624_01_ID223,3.1861367663,NOS^'Δ23/Δ23'
NOS23x23,0624_01,sideUV,0624_01_ID253,4.148206335,NOS^'Δ23/Δ23'
NOS23x23,0624_01,sideUV,0624_01_ID284,3.4318116802,NOS^'Δ23/Δ23'
NOS23x23,0624_01,sideUV,0624_01_ID337,4.325745780566667,NOS^'Δ23/Δ23'
NOS23x23,0624_01,sideUV,0624_01_ID381,4.4788746731,NOS^'Δ23/Δ23'
NOS23x23,0624_01,sideUV,0624_01_ID407,3.8919686291,NOS^'Δ23/Δ23'
NOS23x23,0624_01,sideUV,0624_01_ID463,3.0827363811,NOS^'Δ23/Δ23'
NOS23x23,0627_02,sideUV,0627_02_ID122,3.4087654852333333,NOS^'Δ23/Δ23'
NOS23x23,0627_02,sideUV,0627_02_ID159,1.8860259177,NOS^'Δ23/Δ23'
NOS23x23,0627_02,sideUV,0627_02_ID257,2.823603787,NOS^'Δ23/Δ23'
NOS23x23,0627_02,sideUV,0627_02_ID279,2.0697128709,NOS^'Δ23/Δ23'
NOS23x23,0627_02,sideUV,0627_02_ID326,4.048494250766667,NOS^'Δ23/Δ23'
NOS23x23,0627_02,sideUV,0627_02_ID387,3.0040292538,NOS^'Δ23/Δ23'
NOS23x23,0628_00,sideUV,0628_00_ID102,3.0642857280999998,NOS^'Δ23/Δ23'
NOS23x23,0628_00,sideUV,0628_00_ID165,3.3374906204,NOS^'Δ23/Δ23'
NOS23x23,0628_00,sideUV,0628_00_ID575,3.3356346743333334,NOS^'Δ23/Δ23'
NOS23x23,0628_00,sideUV,0628_00_ID649,2.183063335,NOS^'Δ23/Δ23'
NOS23x23,0628_00,sideUV,0628_00_ID7,2.7220343167,NOS^'Δ23/Δ23'
NOS23x23,0628_00,sideUV,0628_00_ID702,3.1573029157,NOS^'Δ23/Δ23'
NOS23x23,0703_01,sideUV,0703_01_ID132,3.546605390033333,NOS^'Δ23/Δ23'
NOS23x23,0703_01,sideUV,0703_01_ID239,1.5919698442,NOS^'Δ23/Δ23'
NOS23x23,0703_01,sideUV,0703_01_ID251,3.4015016327,NOS^'Δ23/Δ23'
NOS23x23,0703_01,sideUV,0703_01_ID284,4.782162289733333,NOS^'Δ23/Δ23'
NOS23x23,0703_01,sideUV,0703_01_ID305,1.8494029685,NOS^'Δ23/Δ23'
NOS23x23,0703_01,sideUV,0703_01_ID52,3.5576267189,NOS^'Δ23/Δ23'
NOS23x23,0703_01,sideUV,0703_01_ID56,4.657172163533334,NOS^'Δ23/Δ23'
NOS11x11,0623_00,sideUV,0623_00_ID117,3.9500292088,NOS^'Δ11/Δ11'
NOS11x11,0623_00,sideUV,0623_00_ID138,3.6826058991333332,NOS^'Δ11/Δ11'
NOS11x11,0623_00,sideUV,0623_00_ID139,3.1901178811666666,NOS^'Δ11/Δ11'
NOS11x11,0623_00,sideUV,0623_00_ID147,2.8879373732999998,NOS^'Δ11/Δ11'
NOS11x11,0623_00,sideUV,0623_00_ID164,2.38756818,NOS^'Δ11/Δ11'
NOS11x11,0623_00,sideUV,0623_00_ID177,2.542968758233333,NOS^'Δ11/Δ11'
NOS11x11,0623_00,sideUV,0623_00_ID183,2.7213566197,NOS^'Δ11/Δ11'
NOS11x11,0623_00,sideUV,0623_00_ID206,3.0248115738,NOS^'Δ11/Δ11'
NOS11x11,0623_00,sideUV,0623_00_ID32,2.6096717712,NOS^'Δ11/Δ11'
NOS11x11,0623_00,sideUV,0623_00_ID325,3.8621924771000002,NOS^'Δ11/Δ11'
NOS11x11,0623_00,sideUV,0623_00_ID408,3.2541062569,NOS^'Δ11/Δ11'
NOS11x11,0623_00,sideUV,0623_00_ID99,3.402880635133333,NOS^'Δ11/Δ11'
NOS11x11,0701_06,sideUV,0701_06_ID119,2.5258916119,NOS^'Δ11/Δ11'
NOS11x11,0701_06,sideUV,0701_06_ID201,2.5812930802,NOS^'Δ11/Δ11'
NOS11x11,0701_06,sideUV,0701_06_ID356,2.5971545295,NOS^'Δ11/Δ11'
NOS11x11,0701_06,sideUV,0701_06_ID385,4.495845844633333,NOS^'Δ11/Δ11'
NOS11x11,0701_06,sideUV,0701_06_ID52,2.7730409957,NOS^'Δ11/Δ11'
NOS11x11,0701_06,sideUV,0701_06_ID632,3.053578068533333,NOS^'Δ11/Δ11'
NOS11x11,0701_06,sideUV,0701_06_ID681,2.8722147283,NOS^'Δ11/Δ11'
NOS11x11,0701_06,sideUV,0701_06_ID86,2.3295983161000002,NOS^'Δ11/Δ11'
NOS11x11,0703_00,sideUV,0703_00_ID120,4.6602450156333335,NOS^'Δ11/Δ11'
NOS11x11,0703_00,sideUV,0703_00_ID138,5.910475533633333,NOS^'Δ11/Δ11'
NOS11x11,0703_00,sideUV,0703_00_ID234,4.4397123334,NOS^'Δ11/Δ11'
NOS11x11,0703_00,sideUV,0703_00_ID385,4.2808596611,NOS^'Δ11/Δ11'
NOS11x11,0703_00,sideUV,0703_00_ID396,4.1590390268,NOS^'Δ11/Δ11'
NOS11x11,0703_00,sideUV,0703_00_ID81,4.902147272833333,NOS^'Δ11/Δ11'
